Substance,Symbol,MolecularWeight,Tc,Pc,Vc,Zc,Omega,Tboil,a,b,c,d,TemperatureRange
Acetylene,C2H2,26.038,308.3,6.140,0.113,0.271,0.184,189.2,21.799,9.208,-6.523,18.197,273–1500
Ammonia,NH3,17.031,405.6,11.280,0.072,0.242,0.250,239.7,27.551,2.563,0.990,-6.687,273–1500
Benzene,C6H6,78.114,562.1,4.894,0.259,0.271,0.212,353.3,-36.193,48.444,-31.548,77.573,273–1500
1-Butene,C4H8,56.108,419.6,4.023,0.240,0.277,0.187,266.9,-1.004,36.193,-21.381,50.502,273–1500
n-butane,C4H10,58.124,425.2,3.8,0.255,0.274,0,272.7,3.954,37.126,-18.326,34.979,273–1500
Carbon dioxide,CO2,44.010,304.2,7.376,0.094,0.274,0.225,194.7,22.243,5.977,-3.499,7.464,273–1800
Carbon monoxide,CO,28.010,132.9,3.496,0.093,0.295,0.049,81.7,28.142,0.167,0.537,-2.221,273–1800
Carbon tetrachloride,CCl4,153.823,556.4,4.560,0.276,0.272,0.194,349.7,51.213,14.226,-12.531,36.937,273–1500
Ethane,C2H6,30.070,305.4,4.884,0.148,0.285,0.098,184.5,6.895,17.255,-6.402,7.280,273–1500
Ethylene,C2H4,28.054,282.4,5.036,0.129,0.276,0.085,169.4,3.950,15.628,-8.339,17.657,273–1500
n-Hexane,C6H14,86.178,507.4,2.969,0.370,0.260,0.296,341.9,6.933,55.188,-28.636,57.657,273–1500
Hydrogen,H2,2.016,33.2,1.297,0.065,0.305,-0.220,20.4,29.088,-0.192,0.400,-0.870,273–1800
Hydrogen fluoride,HF,20.006,461.0,6.488,0.069,0.120,0.372,292.7,30.130,-0.493,0.659,-1.573,273–2000
Hydrogen sulfide,H2S,34.080,373.2,8.942,0.099,0.284,0.100,212.8,29.582,1.309,0.571,-3.292,273–1800
Methane,CH4,16.043,190.6,4.600,0.099,0.288,0.008,111.7,19.875,5.021,1.268,-11.004,273–1500
Nitricoxide,NO,30.006,180.0,6.485,0.058,0.250,0.607,121.4,27.034,0.987,-0.322,0.365,273–3800
Nitrogen,N2,28.013,126.2,3.394,0.090,0.290,0.040,77.4,28.883,-0.157,0.808,-2.871,273–1800
Oxygen,O2,31.999,154.6,5.046,0.073,0.288,0.021,90.2,25.460,1.519,-0.715,1.311,273–1800
Propane,C3H8,44.097,369.8,4.246,0.203,0.281,0.152,231.1,-4.042,30.456,-15.711,31.716,273–1500
Propylene,C3H6,42.081,365.0,4.620,0.181,0.275,0.148,225.4,3.151,23.812,-12.176,24.603,273–1500
Sulfur dioxide,SO2,64.063,430.8,7.883,0.122,0.268,0.251,263.0,25.762,5.791,-3.809,8.607,273–1800
Toluene,C7H8,92.141,591.7,4.113,0.316,0.264,0.257,383.8,-34.364,55.887,-34.435,80.335,273–1500
Water,H2O,18.015,647.3,22.048,0.056,0.229,0.344,373.2,32.218,0.192,1.055,-3.593,273–1800
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
